2022-02-25 11:04:36.853 [main] INFO  de.uni_koblenz.gorjatschev.applyingapis.Utils - --Server returned HTTP response code: 403 for URL: https://api.github.com/search/code?q=filename:pom.xml+extension:xml+repo:HorizenOfficial/zencash-swing-wallet-ui
2022-02-25 11:15:02.344 [main] INFO  de.uni_koblenz.gorjatschev.applyingapis.Utils - --Sleeping...
2022-02-25 11:16:02.346 [main] INFO  de.uni_koblenz.gorjatschev.applyingapis.Utils - --Resuming.
2022-02-25 11:16:02.548 [main] INFO  de.uni_koblenz.gorjatschev.applyingapis.Utils - --Server returned HTTP response code: 401 for URL: https://api.github.com/search/code?q=filename:pom.xml+extension:xml+repo:fennifith/Pasta-for-Spotify
2022-02-25 11:16:02.548 [main] INFO  de.uni_koblenz.gorjatschev.applyingapis.Utils - --Sleeping...
2022-02-25 11:17:02.551 [main] INFO  de.uni_koblenz.gorjatschev.applyingapis.Utils - --Resuming.
2022-02-25 11:17:02.723 [main] INFO  de.uni_koblenz.gorjatschev.applyingapis.Utils - --Server returned HTTP response code: 401 for URL: https://api.github.com/search/code?q=filename:pom.xml+extension:xml+repo:fennifith/Pasta-for-Spotify
2022-02-25 11:17:02.723 [main] INFO  de.uni_koblenz.gorjatschev.applyingapis.Utils - --Sleeping...
2022-02-25 11:18:02.727 [main] INFO  de.uni_koblenz.gorjatschev.applyingapis.Utils - --Resuming.
2022-02-25 11:18:02.917 [main] INFO  de.uni_koblenz.gorjatschev.applyingapis.Utils - --Server returned HTTP response code: 401 for URL: https://api.github.com/search/code?q=filename:pom.xml+extension:xml+repo:fennifith/Pasta-for-Spotify
2022-02-25 11:18:02.918 [main] INFO  de.uni_koblenz.gorjatschev.applyingapis.Utils - --Sleeping...
2022-02-25 11:19:02.930 [main] INFO  de.uni_koblenz.gorjatschev.applyingapis.Utils - --Resuming.
2022-02-25 11:19:03.099 [main] INFO  de.uni_koblenz.gorjatschev.applyingapis.Utils - --Server returned HTTP response code: 401 for URL: https://api.github.com/search/code?q=filename:pom.xml+extension:xml+repo:fennifith/Pasta-for-Spotify
2022-02-25 11:19:03.099 [main] INFO  de.uni_koblenz.gorjatschev.applyingapis.Utils - --Sleeping...
2022-02-25 11:20:03.102 [main] INFO  de.uni_koblenz.gorjatschev.applyingapis.Utils - --Resuming.
2022-02-25 11:20:03.321 [main] INFO  de.uni_koblenz.gorjatschev.applyingapis.Utils - --Server returned HTTP response code: 401 for URL: https://api.github.com/search/code?q=filename:pom.xml+extension:xml+repo:fennifith/Pasta-for-Spotify
2022-02-25 11:20:03.322 [main] INFO  de.uni_koblenz.gorjatschev.applyingapis.Utils - --Sleeping...
2022-02-25 11:21:03.324 [main] INFO  de.uni_koblenz.gorjatschev.applyingapis.Utils - --Resuming.
2022-02-25 11:21:03.533 [main] INFO  de.uni_koblenz.gorjatschev.applyingapis.Utils - --Server returned HTTP response code: 401 for URL: https://api.github.com/search/code?q=filename:pom.xml+extension:xml+repo:fennifith/Pasta-for-Spotify
2022-02-25 11:21:03.534 [main] INFO  de.uni_koblenz.gorjatschev.applyingapis.Utils - --Sleeping...
2022-02-25 11:22:03.541 [main] INFO  de.uni_koblenz.gorjatschev.applyingapis.Utils - --Resuming.
2022-02-25 11:22:03.713 [main] INFO  de.uni_koblenz.gorjatschev.applyingapis.Utils - --Server returned HTTP response code: 401 for URL: https://api.github.com/search/code?q=filename:pom.xml+extension:xml+repo:fennifith/Pasta-for-Spotify
2022-02-25 11:22:03.715 [main] INFO  de.uni_koblenz.gorjatschev.applyingapis.Utils - --Sleeping...
2022-02-25 11:23:03.718 [main] INFO  de.uni_koblenz.gorjatschev.applyingapis.Utils - --Resuming.
2022-02-25 11:23:03.872 [main] INFO  de.uni_koblenz.gorjatschev.applyingapis.Utils - --Server returned HTTP response code: 401 for URL: https://api.github.com/search/code?q=filename:pom.xml+extension:xml+repo:fennifith/Pasta-for-Spotify
2022-02-25 11:23:03.873 [main] INFO  de.uni_koblenz.gorjatschev.applyingapis.Utils - --Sleeping...
2022-02-25 11:24:03.875 [main] INFO  de.uni_koblenz.gorjatschev.applyingapis.Utils - --Resuming.
2022-02-25 11:24:04.056 [main] INFO  de.uni_koblenz.gorjatschev.applyingapis.Utils - --Server returned HTTP response code: 401 for URL: https://api.github.com/search/code?q=filename:pom.xml+extension:xml+repo:fennifith/Pasta-for-Spotify
2022-02-25 11:24:04.057 [main] INFO  de.uni_koblenz.gorjatschev.applyingapis.Utils - --Sleeping...
2022-02-25 11:25:04.069 [main] INFO  de.uni_koblenz.gorjatschev.applyingapis.Utils - --Resuming.
2022-02-25 11:25:04.247 [main] INFO  de.uni_koblenz.gorjatschev.applyingapis.Utils - --Server returned HTTP response code: 401 for URL: https://api.github.com/search/code?q=filename:pom.xml+extension:xml+repo:fennifith/Pasta-for-Spotify
2022-02-25 11:25:04.247 [main] INFO  de.uni_koblenz.gorjatschev.applyingapis.Utils - --Sleeping...
2022-02-25 11:26:04.254 [main] INFO  de.uni_koblenz.gorjatschev.applyingapis.Utils - --Resuming.
2022-02-25 11:26:04.422 [main] INFO  de.uni_koblenz.gorjatschev.applyingapis.Utils - --Server returned HTTP response code: 401 for URL: https://api.github.com/search/code?q=filename:pom.xml+extension:xml+repo:fennifith/Pasta-for-Spotify
2022-02-25 11:26:04.423 [main] INFO  de.uni_koblenz.gorjatschev.applyingapis.Utils - --Sleeping...
2022-02-25 11:27:04.424 [main] INFO  de.uni_koblenz.gorjatschev.applyingapis.Utils - --Resuming.
2022-02-25 11:27:04.600 [main] INFO  de.uni_koblenz.gorjatschev.applyingapis.Utils - --Server returned HTTP response code: 401 for URL: https://api.github.com/search/code?q=filename:pom.xml+extension:xml+repo:fennifith/Pasta-for-Spotify
2022-02-25 11:27:04.600 [main] INFO  de.uni_koblenz.gorjatschev.applyingapis.Utils - --Sleeping...
2022-02-25 11:28:04.603 [main] INFO  de.uni_koblenz.gorjatschev.applyingapis.Utils - --Resuming.
2022-02-25 11:28:04.917 [main] INFO  de.uni_koblenz.gorjatschev.applyingapis.Utils - --Server returned HTTP response code: 401 for URL: https://api.github.com/search/code?q=filename:pom.xml+extension:xml+repo:fennifith/Pasta-for-Spotify
2022-02-25 11:28:04.918 [main] INFO  de.uni_koblenz.gorjatschev.applyingapis.Utils - --Sleeping...
2022-02-25 11:29:04.920 [main] INFO  de.uni_koblenz.gorjatschev.applyingapis.Utils - --Resuming.
2022-02-25 11:29:05.083 [main] INFO  de.uni_koblenz.gorjatschev.applyingapis.Utils - --Server returned HTTP response code: 401 for URL: https://api.github.com/search/code?q=filename:pom.xml+extension:xml+repo:fennifith/Pasta-for-Spotify
2022-02-25 11:29:05.083 [main] INFO  de.uni_koblenz.gorjatschev.applyingapis.Utils - --Sleeping...
2022-02-25 11:30:05.086 [main] INFO  de.uni_koblenz.gorjatschev.applyingapis.Utils - --Resuming.
2022-02-25 11:30:05.243 [main] INFO  de.uni_koblenz.gorjatschev.applyingapis.Utils - --Server returned HTTP response code: 401 for URL: https://api.github.com/search/code?q=filename:pom.xml+extension:xml+repo:fennifith/Pasta-for-Spotify
2022-02-25 11:30:05.243 [main] INFO  de.uni_koblenz.gorjatschev.applyingapis.Utils - --Sleeping...
2022-02-25 11:31:05.246 [main] INFO  de.uni_koblenz.gorjatschev.applyingapis.Utils - --Resuming.
2022-02-25 11:31:05.407 [main] INFO  de.uni_koblenz.gorjatschev.applyingapis.Utils - --Server returned HTTP response code: 401 for URL: https://api.github.com/search/code?q=filename:pom.xml+extension:xml+repo:fennifith/Pasta-for-Spotify
2022-02-25 11:31:05.407 [main] INFO  de.uni_koblenz.gorjatschev.applyingapis.Utils - --Sleeping...
2022-02-25 11:32:05.412 [main] INFO  de.uni_koblenz.gorjatschev.applyingapis.Utils - --Resuming.
2022-02-25 11:32:05.549 [main] INFO  de.uni_koblenz.gorjatschev.applyingapis.Utils - --Server returned HTTP response code: 401 for URL: https://api.github.com/search/code?q=filename:pom.xml+extension:xml+repo:fennifith/Pasta-for-Spotify
2022-02-25 11:32:05.550 [main] INFO  de.uni_koblenz.gorjatschev.applyingapis.Utils - --Sleeping...
2022-02-25 11:33:05.552 [main] INFO  de.uni_koblenz.gorjatschev.applyingapis.Utils - --Resuming.
2022-02-25 11:33:05.756 [main] INFO  de.uni_koblenz.gorjatschev.applyingapis.Utils - --Server returned HTTP response code: 401 for URL: https://api.github.com/search/code?q=filename:pom.xml+extension:xml+repo:fennifith/Pasta-for-Spotify
2022-02-25 11:33:05.757 [main] INFO  de.uni_koblenz.gorjatschev.applyingapis.Utils - --Sleeping...
2022-02-25 11:34:05.759 [main] INFO  de.uni_koblenz.gorjatschev.applyingapis.Utils - --Resuming.
2022-02-25 11:34:05.926 [main] INFO  de.uni_koblenz.gorjatschev.applyingapis.Utils - --Server returned HTTP response code: 401 for URL: https://api.github.com/search/code?q=filename:pom.xml+extension:xml+repo:fennifith/Pasta-for-Spotify
2022-02-25 11:34:05.926 [main] INFO  de.uni_koblenz.gorjatschev.applyingapis.Utils - --Sleeping...
2022-02-25 11:35:05.942 [main] INFO  de.uni_koblenz.gorjatschev.applyingapis.Utils - --Resuming.
2022-02-25 11:35:06.107 [main] INFO  de.uni_koblenz.gorjatschev.applyingapis.Utils - --Server returned HTTP response code: 401 for URL: https://api.github.com/search/code?q=filename:pom.xml+extension:xml+repo:fennifith/Pasta-for-Spotify
2022-02-25 11:35:06.108 [main] INFO  de.uni_koblenz.gorjatschev.applyingapis.Utils - --Sleeping...
2022-02-25 11:36:06.124 [main] INFO  de.uni_koblenz.gorjatschev.applyingapis.Utils - --Resuming.
2022-02-25 11:36:06.274 [main] INFO  de.uni_koblenz.gorjatschev.applyingapis.Utils - --Server returned HTTP response code: 401 for URL: https://api.github.com/search/code?q=filename:pom.xml+extension:xml+repo:fennifith/Pasta-for-Spotify
2022-02-25 11:36:06.274 [main] INFO  de.uni_koblenz.gorjatschev.applyingapis.Utils - --Sleeping...
2022-02-25 11:37:06.277 [main] INFO  de.uni_koblenz.gorjatschev.applyingapis.Utils - --Resuming.
2022-02-25 11:37:06.434 [main] INFO  de.uni_koblenz.gorjatschev.applyingapis.Utils - --Server returned HTTP response code: 401 for URL: https://api.github.com/search/code?q=filename:pom.xml+extension:xml+repo:fennifith/Pasta-for-Spotify
2022-02-25 11:37:06.434 [main] INFO  de.uni_koblenz.gorjatschev.applyingapis.Utils - --Sleeping...
2022-02-25 11:38:06.437 [main] INFO  de.uni_koblenz.gorjatschev.applyingapis.Utils - --Resuming.
2022-02-25 11:38:06.599 [main] INFO  de.uni_koblenz.gorjatschev.applyingapis.Utils - --Server returned HTTP response code: 401 for URL: https://api.github.com/search/code?q=filename:pom.xml+extension:xml+repo:fennifith/Pasta-for-Spotify
2022-02-25 11:38:06.600 [main] INFO  de.uni_koblenz.gorjatschev.applyingapis.Utils - --Sleeping...
2022-02-25 11:39:06.602 [main] INFO  de.uni_koblenz.gorjatschev.applyingapis.Utils - --Resuming.
2022-02-25 11:39:07.000 [main] INFO  de.uni_koblenz.gorjatschev.applyingapis.Utils - --Server returned HTTP response code: 401 for URL: https://api.github.com/search/code?q=filename:pom.xml+extension:xml+repo:fennifith/Pasta-for-Spotify
2022-02-25 11:39:07.001 [main] INFO  de.uni_koblenz.gorjatschev.applyingapis.Utils - --Sleeping...
2022-02-25 11:40:07.003 [main] INFO  de.uni_koblenz.gorjatschev.applyingapis.Utils - --Resuming.
2022-02-25 11:40:07.312 [main] INFO  de.uni_koblenz.gorjatschev.applyingapis.Utils - --Server returned HTTP response code: 401 for URL: https://api.github.com/search/code?q=filename:pom.xml+extension:xml+repo:fennifith/Pasta-for-Spotify
2022-02-25 11:40:07.312 [main] INFO  de.uni_koblenz.gorjatschev.applyingapis.Utils - --Sleeping...
2022-02-25 11:41:07.314 [main] INFO  de.uni_koblenz.gorjatschev.applyingapis.Utils - --Resuming.
2022-02-25 11:41:07.527 [main] INFO  de.uni_koblenz.gorjatschev.applyingapis.Utils - --Server returned HTTP response code: 401 for URL: https://api.github.com/search/code?q=filename:pom.xml+extension:xml+repo:fennifith/Pasta-for-Spotify
2022-02-25 11:41:07.527 [main] INFO  de.uni_koblenz.gorjatschev.applyingapis.Utils - --Sleeping...
2022-02-25 11:42:07.529 [main] INFO  de.uni_koblenz.gorjatschev.applyingapis.Utils - --Resuming.
2022-02-25 11:42:07.694 [main] INFO  de.uni_koblenz.gorjatschev.applyingapis.Utils - --Server returned HTTP response code: 401 for URL: https://api.github.com/search/code?q=filename:pom.xml+extension:xml+repo:fennifith/Pasta-for-Spotify
2022-02-25 11:42:07.694 [main] INFO  de.uni_koblenz.gorjatschev.applyingapis.Utils - --Sleeping...
2022-02-25 11:43:07.698 [main] INFO  de.uni_koblenz.gorjatschev.applyingapis.Utils - --Resuming.
2022-02-25 11:43:07.848 [main] INFO  de.uni_koblenz.gorjatschev.applyingapis.Utils - --Server returned HTTP response code: 401 for URL: https://api.github.com/search/code?q=filename:pom.xml+extension:xml+repo:fennifith/Pasta-for-Spotify
2022-02-25 11:43:07.848 [main]
